,epochs,train_losses,val_losses,train_accs,val_accs
0,1,1.6217626104146345,1.2489882663444236,0.3486766398158803,0.5972222222222222
1,2,0.9654027616607306,0.6493790723659374,0.7767548906789413,0.8981481481481481
2,3,0.6128517399243024,0.39053007739561574,0.8504027617951668,0.9305555555555555
3,4,0.4437973526734066,0.2811094986067878,0.8711162255466053,0.9722222222222222
4,5,0.3589882845845678,0.2171905482256854,0.8981588032220944,0.9768518518518517
5,6,0.29448020790882573,0.17866435647010803,0.905638665132336,0.9814814814814814
6,7,0.2801760624241088,0.15400337345070308,0.9085155350978136,0.9814814814814814
7,8,0.2632436788671996,0.15422256622049543,0.9113924050632911,0.9814814814814814
8,9,0.2641072780819839,0.14917208971800627,0.9073647871116226,0.986111111111111
9,10,0.24739444926295373,0.14527764750851524,0.9263521288837745,0.986111111111111
10,11,0.24992241011664562,0.14306052056727586,0.9165707710011507,0.9814814814814814
11,12,0.2544750764674504,0.13796244064966837,0.9085155350978136,0.986111111111111
12,13,0.224539879550868,0.14104009723221814,0.9263521288837745,0.986111111111111
13,14,0.2359592220108309,0.13278099839334134,0.9240506329113924,0.9907407407407407
14,15,0.2309009467087626,0.13358880082766214,0.9286536248561565,0.9907407407407407
15,16,0.22307409803941416,0.13179326167813055,0.9321058688147296,0.9907407407407407
16,17,0.23056334514338073,0.1329577421700513,0.9240506329113924,0.986111111111111
17,18,0.24902017892984582,0.13510852996949796,0.9039125431530495,0.986111111111111
18,19,0.23924080936626133,0.13279732951411494,0.9113924050632911,0.9907407407407407
19,20,0.24198918056570345,0.1310594126030251,0.9136939010356732,0.986111111111111
20,21,0.21898416442618682,0.1319453070561091,0.9298043728423475,0.986111111111111
21,22,0.2305458643236835,0.1304067384313654,0.9240506329113924,0.986111111111111
22,23,0.23289804724747074,0.1311466528309716,0.9194476409666283,0.986111111111111
23,24,0.22394561745286398,0.12891017231676313,0.9240506329113924,0.9907407407407407
24,25,0.2374892688010175,0.12917977019592566,0.9234752589182968,0.9907407407407407
